maxRunLength,codebook,numBits,numBitErrors
3,filep_01_1000_codebook.pickle,3534,0
3,geometric_codebook.pickle,3534,0
4,filep_01_1000_codebook.pickle,2740,0
4,geometric_codebook.pickle,2740,0
5,filep_01_1000_codebook.pickle,2281,0
5,geometric_codebook.pickle,2285,0
6,filep_01_1000_codebook.pickle,1979,0
6,geometric_codebook.pickle,1979,0
7,filep_01_1000_codebook.pickle,1763,0
7,geometric_codebook.pickle,1765,0
8,filep_01_1000_codebook.pickle,1600,0
8,geometric_codebook.pickle,1600,0
9,filep_01_1000_codebook.pickle,1479,0
9,geometric_codebook.pickle,1493,0
10,filep_01_1000_codebook.pickle,1389,0
10,geometric_codebook.pickle,1391,0
11,filep_01_1000_codebook.pickle,1311,0
11,geometric_codebook.pickle,1319,0
12,filep_01_1000_codebook.pickle,1245,0
12,geometric_codebook.pickle,1258,0
13,filep_01_1000_codebook.pickle,1198,0
13,geometric_codebook.pickle,1199,0
14,filep_01_1000_codebook.pickle,1150,0
14,geometric_codebook.pickle,1159,0
15,filep_01_1000_codebook.pickle,1112,0
15,geometric_codebook.pickle,1120,0
16,filep_01_1000_codebook.pickle,1069,0
16,geometric_codebook.pickle,1081,0
17,filep_01_1000_codebook.pickle,1052,0
17,geometric_codebook.pickle,1063,0
18,filep_01_1000_codebook.pickle,1026,0
18,geometric_codebook.pickle,1036,0
19,filep_01_1000_codebook.pickle,1008,0
19,geometric_codebook.pickle,1017,0
20,filep_01_1000_codebook.pickle,988,0
20,geometric_codebook.pickle,998,0
21,filep_01_1000_codebook.pickle,971,0
21,geometric_codebook.pickle,982,0
22,filep_01_1000_codebook.pickle,959,0
22,geometric_codebook.pickle,967,0
23,filep_01_1000_codebook.pickle,943,0
23,geometric_codebook.pickle,953,0
24,filep_01_1000_codebook.pickle,927,0
24,geometric_codebook.pickle,938,0
25,filep_01_1000_codebook.pickle,912,0
25,geometric_codebook.pickle,930,0
26,filep_01_1000_codebook.pickle,913,0
26,geometric_codebook.pickle,922,0
27,filep_01_1000_codebook.pickle,902,0
27,geometric_codebook.pickle,913,0
28,filep_01_1000_codebook.pickle,882,0
28,geometric_codebook.pickle,900,0
29,filep_01_1000_codebook.pickle,879,0
29,geometric_codebook.pickle,892,0
30,filep_01_1000_codebook.pickle,869,0
30,geometric_codebook.pickle,890,0
31,filep_01_1000_codebook.pickle,860,0
31,geometric_codebook.pickle,887,0
32,filep_01_1000_codebook.pickle,853,0
32,geometric_codebook.pickle,876,0
